uuid,epoch,enum,integer
794192f5-c5bd-47de-8a81-0aac385d98f2,1760151866,wrong-ans,5
56853fd8-1dad-4a6b-8fb4-5de248e4c3c1,1759863923,wrong-ans,84
81258ff8-7ee2-44ad-9e8e-a14e39627a10,1760613922,queries,24
f7fa7532-950d-45c3-8257-270c0f5f1575,1760065743,wrong-ans,46
92c2eb90-c9fe-4fe1-bff9-814e468dfd09,1758711031,queries,82
b7ee5dac-e4a3-45ad-b016-a7ddf7d09dc1,1760235584,queries,63
c35242b4-e3dd-4ec1-9dbf-21180427f93d,1759014509,correct-ans,19
48e65931-d953-4976-9f01-14348d9db16f,1761058225,correct-ans,30
cfe23585-2a98-48b0-a730-2eb9f5b945b0,1759314722,wrong-ans,24
a3ec5ba3-ee39-4b8f-b6eb-04c0dd761690,1758957715,wrong-ans,81
e554ff46-4de3-4e0a-8c8d-8250c5a8fc8f,1759478130,time-spent-mins,7
61369586-b099-46e5-9f96-9f408cdd09cf,1760752679,correct-ans,49
4d6777d1-cef8-4888-aa7b-a93c39f2ace2,1759506973,wrong-ans,56
b6bbac1f-b45d-419f-8d71-e48829216c1f,1759750524,wrong-ans,33
d39218d5-af51-4944-b607-8694bc5d101a,1761013267,wrong-ans,67
67ac831f-b52e-4d37-a903-72f1838a7752,1759809407,queries,76
757c4bd6-5ebb-425e-8016-9469be4e185b,1761051125,time-spent-mins,7
688715fd-9577-4416-b88a-a2df122c132a,1759130540,wrong-ans,98
739b14c8-9fd2-45b8-abbc-49dc35772abc,1758896218,time-spent-mins,9
108fbb79-af89-4f67-be99-6a2d1eed630a,1759458436,correct-ans,31
b1047ce8-da99-41b3-a932-dda2a02a7d8f,1758840619,time-spent-mins,4
8af151ba-58ac-43cb-bd1a-c9da36a5f73e,1761116506,correct-ans,51
f5b9cc4b-7a00-4101-ad2d-37e9b140b69f,1760814899,queries,80
c03db1cf-aa62-4e8f-9c87-f98b70919bb2,1759897076,time-spent-mins,5
f0f1c728-6d5a-47d9-a990-b72d51192cbe,1761006919,correct-ans,46
cd48ca2c-d34a-4325-867a-4ebbf6056a3c,1759627953,wrong-ans,79
62fcb02e-5b8a-48a7-be30-9b1ef4082b59,1758837400,time-spent-mins,6
ffa774fd-39c9-4f66-b460-2780a1473dc6,1759423879,queries,99
7e5a11fc-a8aa-469a-b3a4-4f65f2e2cd1a,1759525263,queries,38
767bd6c9-814b-434c-8d7b-ebde15489316,1760750195,correct-ans,58
231a0c54-5f45-4d5c-9fe1-da8b6b8a462d,1760960355,wrong-ans,35
79dd0194-6faf-48f1-94f7-e3d2b2ebba6d,1759708024,wrong-ans,29
1c7f05fd-794b-4217-88ae-1315503a1fee,1760112082,time-spent-mins,3
d72a26cb-2931-42c3-a08f-393c7a56d777,1760613931,correct-ans,28
05f4098b-ae68-4bc1-8b6e-9f0dd3cb5d18,1760571076,correct-ans,25
d391d302-9b1e-440b-a393-0c2864bd3a6b,1760011257,queries,7
02fc68f3-db44-4bd1-b87a-cbdeb588dde7,1760270096,correct-ans,1
3300be54-5c00-4415-8e66-32926998f1cc,1758717629,queries,78
4018cbce-3e48-4006-bb3c-ee6dfc25dfcc,1760401464,queries,1
c9c6fb7a-edff-4c6a-8aba-9534a6c1f09b,1760053375,time-spent-mins,2
bd7351dd-1c7a-4ed8-9f53-b6fe419750d7,1759749714,time-spent-mins,8
1d5727c2-a039-45fe-a3e7-e0d131d64891,1758651834,queries,39
ac5217e7-6a01-4cab-90e9-21135c4e5eb1,1759888058,time-spent-mins,1
7a2ac9ed-f55b-4704-81c3-f4c0ddb674c3,1760692286,correct-ans,28
a8fea24e-349d-4ea3-88ed-ebf01cf8c88c,1759926473,correct-ans,62
656147b4-176d-489f-ab63-6b0299d99cdf,1759059771,time-spent-mins,4
7cac0d25-3579-4991-ab54-a90aed4ab9f6,1760063961,queries,82
476ca6ab-1c8e-4824-ae35-a6aa515c7479,1758891134,queries,30
45d356a5-943b-41ce-a476-9006209f3d49,1761061692,time-spent-mins,7
930679b9-5adf-460d-917f-fe91da8e9320,1760195000,time-spent-mins,8
e30600e7-d77c-4ec6-bdc3-ca7bbbb840a3,1759024061,wrong-ans,78
a7df6286-5832-4d17-a141-05510b1a43c5,1759532759,correct-ans,90
e24ab78a-79dd-4510-83f1-7ea2973a3753,1760970799,queries,59
7ff7cad9-f11c-4d7c-9d66-fd4feb9e6b2e,1760252946,wrong-ans,41
c6a80c35-d9a2-44de-8d94-21c22a8a4658,1759378760,correct-ans,88
f3f45bdb-7503-48b7-a784-1c5fae94c04d,1759442247,queries,61
543b772c-1f36-470a-ba8d-6c87d3ebbf96,1760843807,time-spent-mins,8
0c63879a-04c4-4288-85db-3e5f2bbaa392,1758655758,wrong-ans,94
1d516c34-2218-4d7e-9312-1e484dafe1f4,1760081587,correct-ans,4
b2160673-5d4a-4250-8f65-35c275b2c2b0,1760840769,queries,19
485addb2-dcb9-489c-8dd3-0a94b9f2fe5d,1758760359,time-spent-mins,8
51e0f14d-7593-44b6-985a-d8db3ee7a1a9,1759657765,correct-ans,45
b5e691ff-d733-473b-a181-c642d477b17b,1758897330,queries,79
08b165fd-8a37-4a89-a812-2ce518220ef8,1761007675,time-spent-mins,1
3274f7b1-0bc0-4740-83fe-2935a8de603b,1760102334,correct-ans,12
ea1dc741-acac-4ee0-b10f-ca376f17c672,1759276494,correct-ans,45
d47abf32-fd34-4018-a668-c762f763346e,1759869601,time-spent-mins,4
96c2d7fd-d080-4a79-b99d-b5486b092051,1760972905,wrong-ans,10
14f25bd0-ae8e-49e1-b967-fec99faa9f90,1758667742,time-spent-mins,4
7d1001cb-6f79-4f3e-863d-b4b8757ba84c,1758956278,queries,39
93f1fc73-d7d7-4a24-8c21-eea4112b593e,1760336945,wrong-ans,69
1f268f8a-12f3-405d-818a-dfd468a00cb7,1759944830,time-spent-mins,10
bcce67f1-fe9f-465a-85c5-fbbfcc264f0f,1760397996,wrong-ans,99
f581dfcb-be95-43a4-9e05-bb2b1acdd930,1760348012,correct-ans,18
f75f8e2a-f68e-4e17-a09a-0fc935bfd3eb,1758666893,queries,36
d3e17422-2818-4b85-82e3-c7f8122c54a6,1759113285,queries,76
4b997cf8-de21-4fbd-b553-fab4b06673e1,1760922021,time-spent-mins,1
d4d321d7-a65d-49d8-9f1a-b3617dcbbbde,1758932274,correct-ans,77
4577bd9c-11a1-4b9c-9601-ae9cdad45fa7,1760573783,time-spent-mins,8
b6bc2318-8b60-4594-8771-3400eceb0ac0,1761012189,time-spent-mins,7
13338e3b-eacc-4a78-ab6f-80f0b0d4f3f1,1759437675,queries,73
47df509d-09b8-4ceb-bae5-7abaded5363c,1760078440,time-spent-mins,6
577b1f5d-b62c-48f4-8ec8-027ec3c2d64e,1760266333,wrong-ans,22
4f47454f-4a99-4b7a-89ce-c48316b5e55e,1759036585,time-spent-mins,8
07062d15-cfd8-400c-b9de-a3e388de86b0,1760491554,queries,31
181b1436-8222-4ac0-9613-6f20f405cad3,1759171732,queries,59
7eac08fb-7ec5-4d81-9ca2-ddb1ca4daabf,1760239367,correct-ans,92
ffa6d150-4906-4c76-81e9-63b9b23e9794,1760831419,queries,60
4ff7fe40-1790-4a2b-ae38-634af915df51,1758933608,queries,21
34451816-d6b6-473c-a932-b8ad62204752,1759825368,queries,97
4ef1ba24-05af-4958-9dcc-6ecf52a715b5,1760140615,correct-ans,16
63564eaa-c84c-4783-a2da-aa6060ea8db8,1759231246,correct-ans,20
1806f34c-ae66-4ce2-b8af-8e05bdf17500,1761156772,time-spent-mins,2
2a377dcb-da2c-4141-9315-7914006e3219,1758670512,wrong-ans,69
88721eca-e625-4d3a-8608-703bae546a9f,1759254343,queries,73
6f6df36a-c6d6-47e3-a76e-151c5ed97ae8,1760125980,time-spent-mins,6
af59883d-76ff-4e3a-bef5-14121ce2bc1b,1759736544,queries,50
8b18d7ee-8c9b-4123-81d2-315abd3c8152,1758664389,correct-ans,23
b72affa2-a5f4-4820-b824-7c58faee7801,1758628496,wrong-ans,1
a7d77047-5db8-4eaa-8b3e-a04871b2ec1f,1760627886,time-spent-mins,10
34ec6dff-8528-4336-b9a6-f2ee66e2bf11,1759480546,wrong-ans,49
60f703c2-47c0-4b44-8611-a4d2df5ff59d,1759278307,correct-ans,86
bf8365fc-8b37-412f-80ac-fc6fc82579be,1758712157,queries,14
92ff5105-1f14-4cba-b2d8-fdba91d68a54,1759264321,wrong-ans,61
b3cba69f-4665-43dd-83c4-2a6703de4520,1760842508,time-spent-mins,9
6ec21821-bd05-416f-8f29-ec55626d5ec7,1759417573,correct-ans,45
1d062609-2bc5-4749-9adc-73349eb045f0,1761182423,correct-ans,98
43d4806f-0314-4344-b947-79713be093be,1759018404,wrong-ans,41
999789b9-333d-417d-bfb2-1b7c5b5e7f59,1759741456,time-spent-mins,1
30239749-d8b4-41e2-aaa1-a941d3bd99bc,1759338932,wrong-ans,1
cf315950-ddb6-4ade-b548-2105b57b2f95,1759013961,time-spent-mins,8
c16d89cc-6223-4da1-a483-35d5d0689f8b,1759784236,queries,17
77559d48-5b63-486d-9ddd-54c63655360c,1760201490,correct-ans,79
53ac18f0-6097-46bf-b237-b4e9caba92be,1760124166,time-spent-mins,5
d54e801e-f680-4ed2-94ae-b3a252e2bc1f,1760394836,wrong-ans,38
94e72a51-2d6b-4436-94a3-51cdd23c9bc8,1760965215,time-spent-mins,5
3ba7c798-f9ef-4868-b40d-ecfc1957f862,1759132879,time-spent-mins,1
71d5aa13-383d-4836-be6d-ffb1c81eabf0,1760244364,queries,76
1136a68a-8f46-4418-9a82-20566fc71cb3,1759882708,time-spent-mins,2
6514f19a-7f8a-4114-bedc-200e5926a13d,1760695479,correct-ans,67
41820a8e-6ac7-4db4-b0e0-371a9aae2bca,1758808485,queries,58
a02c3b87-8ce1-422f-9617-f8083473f44c,1759851037,time-spent-mins,5
7ef68bab-5e46-4bfd-91af-163c6fb45e43,1759870576,time-spent-mins,10
ca8bdc93-ef73-407f-873b-7f7a1e4d53ea,1760010134,queries,57
c16fea31-d5a8-4faa-8da9-822ba0521bc2,1759081668,queries,6
28aca4b3-ad52-4ae5-9ead-775eae9ca484,1759321161,time-spent-mins,9
0b708925-2160-4670-8baa-95ebc23e4a6f,1760799837,correct-ans,83
d89da42a-4c01-4679-a5ff-bc828bc7af71,1760293115,correct-ans,80
012f80c6-31f7-4d69-b271-8cec533e5927,1759608705,time-spent-mins,9
85449064-0c00-4842-8fdc-b09fb23c73e0,1760365483,correct-ans,80
e2355ae6-524c-4cba-baeb-174b0efdd2f9,1760425440,queries,73
